MONTH       DAY      YEAR      HOUR       AVG  
                                           SOLAR  
                                            RAD.  
                                   CST  WATTS/M²  
       1         1      2012       100         0  
       1         1      2012       200         0  
       1         1      2012       300         0  
       1         1      2012       400         0  
       1         1      2012       500         0  
       1         1      2012       600         0  
       1         1      2012       700         0  
       1         1      2012       800        28  
       1         1      2012       900        96  
       1         1      2012      1000       258  
       1         1      2012      1100       386  
       1         1      2012      1200       439  
       1         1      2012      1300       441  
       1         1      2012      1400       388  
       1         1      2012      1500       288  
       1         1      2012      1600       145  
       1         1      2012      1700        32  
       1         1      2012      1800         0  
       1         1      2012      1900         0  
       1         1      2012      2000         0  
       1         1      2012      2100         0  
       1         1      2012      2200         0  
       1         1      2012      2300         0  
       1         1      2012      2400         0  
       1         2      2012       100         0  
       1         2      2012       200         0  
       1         2      2012       300         0  
       1         2      2012       400         0  
       1         2      2012       500         0  
       1         2      2012       600         0  
       1         2      2012       700         0  
       1         2      2012       800        36  
       1         2      2012       900       175  
       1         2      2012      1000       305  
       1         2      2012      1100       403  
       1         2      2012      1200       455  
       1         2      2012      1300       455  
       1         2      2012      1400       402  
       1         2      2012      1500       302  
       1         2      2012      1600       166  
       1         2      2012      1700        36  
       1         2      2012      1800         0  
       1         2      2012      1900         0  
       1         2      2012      2000         0  
       1         2      2012      2100         0  
       1         2      2012      2200         0  
       1         2      2012      2300         0  
       1         2      2012      2400         0  
       1         3      2012       100         0  
       1         3      2012       200         0  
       1         3      2012       300         0  
       1         3      2012       400         0  
       1         3      2012       500         0  
       1         3      2012       600         0  
       1         3      2012       700         0  
       1         3      2012       800        36  
       1         3      2012       900       173  
       1         3      2012      1000       304  
       1         3      2012      1100       400  
       1         3      2012      1200       451  
       1         3      2012      1300       451  
       1         3      2012      1400       398  
       1         3      2012      1500       300  
       1         3      2012      1600       165  
       1         3      2012      1700        36  
       1         3      2012      1800         0  
       1         3      2012      1900         0  
       1         3      2012      2000         0  
       1         3      2012      2100         0  
       1         3      2012      2200         0  
       1         3      2012      2300         0  
       1         3      2012      2400         0  
       1         4      2012       100         0  
