   MONTH       DAY      YEAR      HOUR  AVG TEMP  
                                   CST         F  
       1         1      2012       100      56.2  
       1         1      2012       200      57.3  
       1         1      2012       300      56.4  
       1         1      2012       400      54.3  
       1         1      2012       500      52.3  
       1         1      2012       600      50.2  
       1         1      2012       700      48.6  
       1         1      2012       800      46.7  
       1         1      2012       900      46.3  
       1         1      2012      1000      47.4  
       1         1      2012      1100      49.1  
       1         1      2012      1200      50.3  
       1         1      2012      1300      51.4  
       1         1      2012      1400      52.2  
       1         1      2012      1500      52.1  
       1         1      2012      1600      50.9  
       1         1      2012      1700      48.5  
       1         1      2012      1800      44.2  
       1         1      2012      1900      41.5  
       1         1      2012      2000      43.2  
       1         1      2012      2100      37.5  
       1         1      2012      2200      37.6  
       1         1      2012      2300      38.9  
       1         1      2012      2400      37.2  
       1         2      2012       100      35.7  
       1         2      2012       200      34.0  
       1         2      2012       300      32.5  
       1         2      2012       400      32.8  
       1         2      2012       500      32.2  
       1         2      2012       600      30.6  
       1         2      2012       700      29.9  
       1         2      2012       800      29.7  
       1         2      2012       900      32.0  
       1         2      2012      1000      32.9  
       1         2      2012      1100      33.8  
       1         2      2012      1200      34.8  
       1         2      2012      1300      36.0  
       1         2      2012      1400      36.6  
       1         2      2012      1500      36.9  
       1         2      2012      1600      36.4  
       1         2      2012      1700      34.7  
       1         2      2012      1800      32.7  
       1         2      2012      1900      31.5  
       1         2      2012      2000      30.2  
       1         2      2012      2100      27.1  
       1         2      2012      2200      26.4  
       1         2      2012      2300      25.7  
       1         2      2012      2400      23.2  
       1         3      2012       100      22.1  
       1         3      2012       200      21.5  
       1         3      2012       300      20.6  
       1         3      2012       400      20.1  
       1         3      2012       500      19.3  
       1         3      2012       600      19.0  
       1         3      2012       700      18.7  
       1         3      2012       800      19.6  
       1         3      2012       900      23.4  
       1         3      2012      1000      26.1  
       1         3      2012      1100      28.0  
       1         3      2012      1200      29.9  
       1         3      2012      1300      31.8  
       1         3      2012      1400      33.0  
       1         3      2012      1500      34.1  
       1         3      2012      1600      34.2  
       1         3      2012      1700      33.1  
       1         3      2012      1800      31.0  
       1         3      2012      1900      30.1  
       1         3      2012      2000      28.5  
       1         3      2012      2100      27.3  
       1         3      2012      2200      28.8  
       1         3      2012      2300      28.2  
       1         3      2012      2400      26.2  
       1         4      2012       100      29.3  
       1         4      2012       200      29.8  
       1         4      2012       300      31.5  
       1         4      2012       400      31.5  
       1         4      2012       500      31.5  
       1         4      2012       600      33.4  
       1         4      2012       700      34.0  
       1         4      2012       800      33.9  
       1         4      2012       900      36.3  
       1         4      2012      1000      38.9  
       1         4      2012      1100      41.3  
       1         4      2012      1200      43.3  
       1         4      2012      1300      45.4  
       1         4      2012      1400      47.4  
       1         4      2012      1500      48.4  
       1         4      2012      1600      48.9  
       1         4      2012      1700      45.9  
       1         4      2012      1800      43.0  
       1         4      2012      1900      39.2  
       1         4      2012      2000      37.1  
       1         4      2012      2100      37.9  
       1         4      2012      2200      36.5  
       1         4      2012      2300      34.2  
       1         4      2012      2400      35.0  
       1         5      2012       100      34.3  
       1         5      2012       200      32.5  
       1         5      2012       300      32.5  
       1         5      2012       400      31.7  
       1         5      2012       500      32.4  
       1         5      2012       600      28.6  
       1         5      2012       700      27.5  
